Date,resid
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,17.716156462585012
2024-01-05,-8.175272108843526
2024-01-06,-15.369557823129194
2024-01-07,28.65329931972794
2024-01-08,4.2304421768707785
2024-01-09,-14.918129251700673
2024-01-10,-10.279795918367334
2024-01-11,36.001870748299346
2024-01-12,41.39615646258503
2024-01-13,-30.79812925170064
2024-01-14,-36.060986394557844
2024-01-15,8.944727891156443
2024-01-16,21.65329931972794
2024-01-17,-9.565510204081612
2024-01-18,-21.14098639455782
2024-01-19,4.5390136054421975
2024-01-20,-9.51241496598636
2024-01-21,24.65329931972794
2024-01-22,-15.626700680272055
2024-01-23,32.65329931972788
2024-01-24,-62.279795918367334
2024-01-25,17.85901360544218
2024-01-26,24.539013605442253
2024-01-27,-24.51241496598642
2024-01-28,17.224727891156494
2024-01-29,20.516156462585055
2024-01-30,18.224727891156494
2024-01-31,-1.1369387755101668
2024-02-01,-24.4267006802721
2024-02-02,-32.889557823129245
2024-02-03,35.48758503401364
2024-02-04,9.510442176870772
2024-02-05,-24.19812925170061
2024-02-06,-15.20384353741495
2024-02-07,26.14877551020411
2024-02-08,-50.712414965986376
2024-02-09,27.824727891156474
2024-02-10,45.63044217687075
2024-02-11,-4.775272108843506
2024-02-12,-7.055272108843499
2024-02-13,-24.775272108843506
2024-02-14,-13.422653061224445
2024-02-15,-3.8552721088434865
2024-02-16,-1.175272108843525
2024-02-17,41.059013605442196
2024-02-18,10.224727891156494
2024-02-19,-47.340986394557774
2024-02-20,9.367585034013604
2024-02-21,-13.279795918367334
2024-02-22,5.573299319727958
2024-02-23,45.11044217687081
2024-02-24,-25.65527210884353
2024-02-25,1.224727891156494
2024-02-26,-5.626700680272054
2024-02-27,-11.775272108843506
2024-02-28,15.577346938775499
2024-02-29,8.287585034013624
2024-03-01,7.39615646258503
2024-03-02,-17.79812925170064
2024-03-03,-0.9181292517006163
2024-03-04,-19.626700680272055
2024-03-05,5.367585034013718
2024-03-06,10.005918367347057
2024-03-07,17.5732993197279
2024-03-08,23.539013605442197
2024-03-09,-3.655272108843529
2024-03-10,-70.91812925170068
2024-03-11,1.8018707482992768
2024-03-12,66.65329931972794
2024-03-13,-2.2797959183673338
2024-03-14,-13.283843537414931
2024-03-15,-12.460986394557803
2024-03-16,-39.36955782312919
2024-03-17,2.653299319727882
2024-03-18,16.516156462585055
2024-03-19,40.51044217687077
2024-03-20,26.72020408163261
2024-03-21,-43.140986394557764
2024-03-22,-9.889557823129191
2024-03-23,-27.226700680272085
2024-03-24,33.22472789115649
2024-03-25,18.659013605442166
2024-03-26,1.7961564625850492
2024-03-27,-33.27979591836728
2024-03-28,22.71615646258507
2024-03-29,-45.889557823129245
2024-03-30,12.201870748299305
2024-03-31,62.3675850340136
2024-04-01,-0.3409863945577767
2024-04-02,-24.060986394557784
2024-04-03,-11.708367346938722
2024-04-04,-26.56955782312921
2024-04-05,12.681870748299307
2024-04-06,23.773299319727915
2024-04-07,-20.34670068027206
2024-04-08,13.80187074829939
2024-04-09,-17.20384353741495
2024-04-10,7.863061224489833
2024-04-11,24.430442176870734
2024-04-12,-17.88955782312919
2024-04-13,-7.9409863945578065
2024-04-14,6.510442176870772
2024-04-15,3.3732993197279457
2024-04-16,-9.775272108843506
2024-04-17,-22.85122448979589
2024-04-18,22.144727891156457
2024-04-19,-25.88955782312919
2024-04-20,53.344727891156474
2024-04-21,3.081870748299327
2024-04-22,-22.055272108843557
2024-04-23,-27.918129251700673
2024-04-24,24.005918367346943
2024-04-25,22.85901360544218
2024-04-26,-21.60384353741497
2024-04-27,-18.083843537414975
2024-04-28,6.224727891156494
2024-04-29,5.087585034013611
2024-04-30,21.653299319727882
2024-05-01,-5.279795918367334
2024-05-02,-10.71241496598632
2024-05-03,-15.318129251700636
2024-05-04,-5.9409863945578065
2024-05-05,20.796156462585106
2024-05-06,24.373299319727945
2024-05-07,-3.4895578231292284
2024-05-08,-8.565510204081612
2024-05-09,-15.712414965986376
2024-05-10,2.681870748299308
2024-05-11,-3.3695578231291945
2024-05-12,-18.918129251700673
2024-05-13,31.9447278911565
2024-05-14,-3.6324149659863387
2024-05-15,5.291632653061278
2024-05-16,-16.998129251700654
2024-05-17,0.253299319727863
2024-05-18,7.916156462585083
2024-05-19,-26.63241496598634
2024-05-20,11.230442176870778
2024-05-21,-12.918129251700673
2024-05-22,5.291632653061221
2024-05-23,60.14472789115646
2024-05-24,-1.8895578231292474
2024-05-25,-39.655272108843526
2024-05-26,-0.48955782312922835
2024-05-27,9.659013605442166
2024-05-28,-27.06098639455784
2024-05-29,27.29163265306122
2024-05-30,2.5732993197279015
2024-05-31,-24.74670068027208
2024-06-01,24.630442176870805
2024-06-02,-25.918129251700673
2024-06-03,3.801870748299277
2024-06-04,-11.489557823129285
2024-06-05,47.5773469387755
2024-06-06,-2.4267006802720985
2024-06-07,23.681870748299364
2024-06-08,-34.22670068027208
2024-06-09,2.08187074829927
2024-06-10,-25.626700680272112
2024-06-11,6.653299319727939
2024-06-12,-16.851224489795833
2024-06-13,10.144727891156514
2024-06-14,14.110442176870809
2024-06-15,36.63044217687075
2024-06-16,-33.77527210884351
2024-06-17,-0.4838435374149439
2024-06-18,5.367585034013604
2024-06-19,16.148775510204054
2024-06-20,-37.85527210884349
2024-06-21,-8.746700680272081
2024-06-22,23.630442176870805
2024-06-23,11.510442176870772
2024-06-24,-4.7695578231292215
2024-06-25,-24.48955782312917
2024-06-26,
2024-06-27,
2024-06-28,
