Date,trend
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,351.14285714285717
2024-01-05,351.57142857142856
2024-01-06,362.71428571428567
2024-01-07,367.71428571428567
2024-01-08,373.4285714285714
2024-01-09,383.2857142857143
2024-01-10,382.2857142857143
2024-01-11,372.85714285714283
2024-01-12,371.0
2024-01-13,371.1428571428571
2024-01-14,366.42857142857144
2024-01-15,355.7142857142857
2024-01-16,347.71428571428567
2024-01-17,348.57142857142856
2024-01-18,355.0
2024-01-19,351.85714285714283
2024-01-20,355.85714285714283
2024-01-21,350.71428571428567
2024-01-22,358.2857142857142
2024-01-23,364.7142857142857
2024-01-24,365.2857142857143
2024-01-25,369.0
2024-01-26,376.8571428571428
2024-01-27,374.8571428571429
2024-01-28,384.1428571428571
2024-01-29,377.1428571428571
2024-01-30,365.1428571428571
2024-01-31,369.1428571428571
2024-02-01,362.2857142857143
2024-02-02,350.2857142857143
2024-02-03,342.85714285714283
2024-02-04,343.85714285714283
2024-02-05,337.8571428571428
2024-02-06,346.57142857142856
2024-02-07,348.85714285714283
2024-02-08,346.57142857142856
2024-02-09,350.57142857142856
2024-02-10,348.7142857142857
2024-02-11,342.1428571428571
2024-02-12,348.71428571428567
2024-02-13,343.1428571428571
2024-02-14,342.4285714285714
2024-02-15,345.71428571428567
2024-02-16,340.57142857142856
2024-02-17,348.2857142857143
2024-02-18,350.1428571428571
2024-02-19,352.99999999999994
2024-02-20,363.0
2024-02-21,355.2857142857143
2024-02-22,356.2857142857142
2024-02-23,364.2857142857142
2024-02-24,361.0
2024-02-25,366.1428571428571
2024-02-26,367.2857142857142
2024-02-27,361.1428571428571
2024-02-28,362.42857142857144
2024-02-29,361.57142857142856
2024-03-01,359.0
2024-03-02,362.1428571428571
2024-03-03,362.2857142857142
2024-03-04,363.2857142857142
2024-03-05,365.9999999999999
2024-03-06,368.9999999999999
2024-03-07,359.2857142857143
2024-03-08,361.85714285714283
2024-03-09,369.0
2024-03-10,364.2857142857143
2024-03-11,359.8571428571429
2024-03-12,354.71428571428567
2024-03-13,348.2857142857143
2024-03-14,359.1428571428571
2024-03-15,361.85714285714283
2024-03-16,359.71428571428567
2024-03-17,366.7142857142857
2024-03-18,364.1428571428571
2024-03-19,365.85714285714283
2024-03-20,368.28571428571433
2024-03-21,370.99999999999994
2024-03-22,371.2857142857142
2024-03-23,364.57142857142856
2024-03-24,355.1428571428571
2024-03-25,364.0
2024-03-26,357.57142857142856
2024-03-27,362.2857142857142
2024-03-28,367.1428571428571
2024-03-29,362.2857142857143
2024-03-30,358.14285714285717
2024-03-31,360.0
2024-04-01,348.99999999999994
2024-04-02,354.4285714285714
2024-04-03,353.71428571428567
2024-04-04,339.4285714285714
2024-04-05,341.7142857142857
2024-04-06,341.57142857142856
2024-04-07,342.71428571428567
2024-04-08,350.8571428571428
2024-04-09,346.57142857142856
2024-04-10,342.1428571428571
2024-04-11,345.42857142857144
2024-04-12,342.2857142857142
2024-04-13,342.2857142857143
2024-04-14,338.85714285714283
2024-04-15,339.2857142857142
2024-04-16,339.1428571428571
2024-04-17,348.85714285714283
2024-04-18,350.7142857142857
2024-04-19,349.2857142857142
2024-04-20,349.0
2024-04-21,355.2857142857143
2024-04-22,354.7142857142857
2024-04-23,355.2857142857143
2024-04-24,346.0
2024-04-25,346.0
2024-04-26,349.0
2024-04-27,355.42857142857144
2024-04-28,352.1428571428571
2024-04-29,348.57142857142856
2024-04-30,350.7142857142857
2024-05-01,352.2857142857143
2024-05-02,354.5714285714285
2024-05-03,357.71428571428567
2024-05-04,354.2857142857143
2024-05-05,353.5714285714285
2024-05-06,351.2857142857142
2024-05-07,351.85714285714283
2024-05-08,350.57142857142856
2024-05-09,343.57142857142856
2024-05-10,343.7142857142857
2024-05-11,342.71428571428567
2024-05-12,344.2857142857143
2024-05-13,344.71428571428567
2024-05-14,344.99999999999994
2024-05-15,347.71428571428567
2024-05-16,347.85714285714283
2024-05-17,348.14285714285717
2024-05-18,350.4285714285714
2024-05-19,352.99999999999994
2024-05-20,367.4285714285714
2024-05-21,370.2857142857143
2024-05-22,365.7142857142857
2024-05-23,371.7142857142857
2024-05-24,370.2857142857143
2024-05-25,366.0
2024-05-26,368.85714285714283
2024-05-27,359.0
2024-05-28,354.42857142857144
2024-05-29,363.7142857142857
2024-05-30,360.2857142857143
2024-05-31,361.1428571428571
2024-06-01,366.71428571428567
2024-06-02,370.2857142857143
2024-06-03,370.8571428571429
2024-06-04,377.8571428571429
2024-06-05,368.42857142857144
2024-06-06,369.2857142857143
2024-06-07,361.71428571428567
2024-06-08,359.57142857142856
2024-06-09,348.28571428571433
2024-06-10,347.2857142857143
2024-06-11,344.71428571428567
2024-06-12,353.8571428571428
2024-06-13,349.71428571428567
2024-06-14,353.2857142857142
2024-06-15,352.7142857142857
2024-06-16,355.1428571428571
2024-06-17,347.1428571428571
2024-06-18,342.0
2024-06-19,337.8571428571429
2024-06-20,341.71428571428567
2024-06-21,340.1428571428571
2024-06-22,336.71428571428567
2024-06-23,336.85714285714283
2024-06-24,340.4285714285714
2024-06-25,347.8571428571428
2024-06-26,
2024-06-27,
2024-06-28,
